/.hta                 (Status: 403) [Size: 213]
/.htaccess            (Status: 403) [Size: 218]
/.htpasswd            (Status: 403) [Size: 218]
/0                    (Status: 301) [Size: 0] [--> http://10.10.165.24/0/]
/admin                (Status: 301) [Size: 234] [--> http://10.10.165.24/admin/]
/atom                 (Status: 301) [Size: 0] [--> http://10.10.165.24/feed/atom/]
/audio                (Status: 301) [Size: 234] [--> http://10.10.165.24/audio/]
/blog                 (Status: 301) [Size: 233] [--> http://10.10.165.24/blog/]
/css                  (Status: 301) [Size: 232] [--> http://10.10.165.24/css/]
/dashboard            (Status: 302) [Size: 0] [--> http://10.10.165.24/wp-admin/]
/favicon.ico          (Status: 200) [Size: 0]
/feed                 (Status: 301) [Size: 0] [--> http://10.10.165.24/feed/]
/image                (Status: 301) [Size: 0] [--> http://10.10.165.24/image/]
/Image                (Status: 301) [Size: 0] [--> http://10.10.165.24/Image/]
/images               (Status: 301) [Size: 235] [--> http://10.10.165.24/images/]
/index.html           (Status: 200) [Size: 1077]
/index.php            (Status: 301) [Size: 0] [--> http://10.10.165.24/]
/js                   (Status: 301) [Size: 231] [--> http://10.10.165.24/js/]
/intro                (Status: 200) [Size: 516314]
/license              (Status: 200) [Size: 309]
/login                (Status: 302) [Size: 0] [--> http://10.10.165.24/wp-login.php]
/page1                (Status: 301) [Size: 0] [--> http://10.10.165.24/]
/phpmyadmin           (Status: 403) [Size: 94]
/readme               (Status: 200) [Size: 64]
/rdf                  (Status: 301) [Size: 0] [--> http://10.10.165.24/feed/rdf/]
/robots               (Status: 200) [Size: 41]
/robots.txt           (Status: 200) [Size: 41]
/rss                  (Status: 301) [Size: 0] [--> http://10.10.165.24/feed/]
/rss2                 (Status: 301) [Size: 0] [--> http://10.10.165.24/feed/]
/sitemap              (Status: 200) [Size: 0]
/sitemap.xml          (Status: 200) [Size: 0]
/video                (Status: 301) [Size: 234] [--> http://10.10.165.24/video/]
/wp-admin             (Status: 301) [Size: 237] [--> http://10.10.165.24/wp-admin/]
/wp-content           (Status: 301) [Size: 239] [--> http://10.10.165.24/wp-content/]
/wp-config            (Status: 200) [Size: 0]
/wp-includes          (Status: 301) [Size: 240] [--> http://10.10.165.24/wp-includes/]
/wp-cron              (Status: 200) [Size: 0]
/wp-load              (Status: 200) [Size: 0]
/wp-links-opml        (Status: 200) [Size: 227]
/wp-login             (Status: 200) [Size: 2606]
/wp-mail              (Status: 500) [Size: 3064]
/wp-settings          (Status: 500) [Size: 0]
/wp-signup            (Status: 302) [Size: 0] [--> http://10.10.165.24/wp-login.php?action=register]
/xmlrpc               (Status: 405) [Size: 42]
/xmlrpc.php           (Status: 405) [Size: 42]
